Unnamed: 0,id,synset1,depth1,sentence1,synset2,depth2,sentence2,specific
168,169,Synset('head.n.18'),11,the beer had a large head of foam,Synset('foam.n.01'),10,the beer had a thick head of foam,0
225,226,Synset('x_chromosome.n.01'),9,human females normally have two X chromosomes,Synset('chromosome.n.01'),7,humans have 22 chromosome pairs plus two sex chromosomes,0
355,356,Synset('approval.n.03'),7,he bought it on approval,Synset('appro.n.01'),8,he accepted it on appro,1
388,389,Synset('alternation.n.01'),10,a trill is a rapid alternation between the two notes,Synset('order.n.15'),8,there were mistakes in the ordering of items on the list,0
609,610,Synset('antagonistic_muscle.n.01'),9,the biceps and triceps are antagonistic muscles,Synset('agonist.n.03'),10,when bending the elbow the biceps are the agonist,1
744,745,Synset('appro.n.01'),8,he accepted it on appro,Synset('approval.n.03'),7,he bought it on approval,0
816,817,Synset('leadership.n.01'),7,his leadership inspired the team,Synset('lead.n.04'),8,he takes the lead in any group,1
1014,1015,Synset('sex_chromosome.n.01'),8,mammals normally have two sex chromosomes,Synset('x_chromosome.n.01'),9,human females normally have two X chromosomes,1
1016,1017,Synset('approval.n.03'),7,he bought it on approval,Synset('appro.n.01'),8,he accepted it on appro,1
1147,1148,Synset('one.n.02'),10,he is the best one,Synset('unit.n.04'),9,an idea is not a unit that can be moved from one brain to another,0
1159,1160,Synset('fireplace.n.01'),10,the fireplace was so large you could walk inside it,Synset('fire.n.04'),11,they sat by the fire and talked,1
1196,1197,Synset('turn.n.02'),10,he took a turn to the right,Synset('right.n.06'),11,take a right at the corner,1
1355,1356,Synset('fire.n.04'),11,they sat by the fire and talked,Synset('fireplace.n.01'),10,the fireplace was so large you could walk inside it,0
1361,1362,Synset('order.n.15'),8,there were mistakes in the ordering of items on the list,Synset('alternation.n.01'),10,a trill is a rapid alternation between the two notes,1
1531,1532,Synset('approval.n.03'),7,he bought it on approval,Synset('appro.n.01'),8,he accepted it on appro,1
1582,1583,Synset('award.n.01'),9,he criticized the awarding of compensation by the court,Synset('addiction.n.03'),10,under Roman law addiction was the justification for slavery,1
1667,1668,Synset('antagonistic_muscle.n.01'),9,the biceps and triceps are antagonistic muscles,Synset('agonist.n.03'),10,when bending the elbow the biceps are the agonist,1
1701,1702,Synset('antagonist.n.02'),10,when bending the elbow the triceps are the antagonist,Synset('antagonistic_muscle.n.01'),9,the biceps and triceps are antagonistic muscles,0
1766,1767,Synset('fire.n.04'),11,they sat by the fire and talked,Synset('fireplace.n.01'),10,the fireplace was so large you could walk inside it,0
1918,1919,Synset('appro.n.01'),8,he accepted it on appro,Synset('approval.n.03'),7,he bought it on approval,0
1951,1952,Synset('one.n.02'),10,he is the best one,Synset('unit.n.04'),9,an idea is not a unit that can be moved from one brain to another,0
