Unnamed: 0,id,synset1,depth1,sentence1,synset2,depth2,sentence2,specific
1,2,Synset('sensation.n.01'),8,a sensation of touch,Synset('taste.n.01'),9,a taste of touch,1
3,4,Synset('street.n.05'),8,it is a friendly street,Synset('neighborhood.n.02'),7,it is a friendly neighborhood,0
4,5,Synset('acknowledgment.n.03'),5,she must have seen him but she gave no sign of acknowledgment,Synset('hello.n.01'),7,she must have seen him but she gave no sign of hello,1
6,7,Synset('consciousness.n.01'),8,he lost consciousness,Synset('awareness.n.02'),9,he lost awareness,1
8,9,Synset('ice_age.n.01'),7,ganoid fish swarmed during the earlier geological ice age,Synset('period.n.04'),6,ganoid fishes swarmed during the earlier geological periods,0
10,11,Synset('blaze.n.01'),10,blaze wa one of our ancestor ' first discovery,Synset('fire.n.03'),9,fire was one of our ancestors' first discoveries,0
11,12,Synset('acceleration.n.01'),7,modern science caused an acceleration of cultural change,Synset('precipitation.n.05'),8,modern science caused an precipitation of cultural change,1
12,13,Synset('reason.n.01'),6,we did not understand his reason,Synset('motivation.n.01'),4,we did not understand his motivation,0
13,14,Synset('gratification.n.01'),8,dull repetitious work gives no gratification,Synset('quality_of_life.n.01'),9,dull repetitious work give no quality of life,1
14,15,Synset('scenario.n.02'),9,the perfect scenario for a ghost story,Synset('setting.n.01'),8,the perfect setting for a ghost story,0
17,18,Synset('playback.n.01'),12,gutenberg 's playback of holy text wa far more efficient,Synset('reproduction.n.04'),10,Gutenberg's reproduction of holy texts was far more efficient,0
18,19,Synset('channel.n.05'),7,it must go through official channels,Synset('liaison.n.02'),8,it must go through official liaison,1
19,20,Synset('seasonal_adjustment.n.01'),11,an seasonal adjustment for profit,Synset('allowance.n.03'),10,an allowance for profit,0
20,21,Synset('effect.n.03'),8,his effect of her wa favorable,Synset('impression.n.01'),7,his impression of her was favorable,0
21,22,Synset('sincerity.n.02'),9,his sincerity inspired belief,Synset('singleness.n.01'),10,his singleness inspired belief,1
22,23,Synset('sight.n.02'),5,he was a familiar sight on the television,Synset('spectacle.n.01'),6,he wa a familiar spectacle on the television,1
25,26,Synset('ruggedness.n.02'),7,the ruggedness of the mountains,Synset('hilliness.n.01'),8,the hilliness of the mountain,1
26,27,Synset('shock_wave.n.01'),8,the explosion created a shock wave,Synset('sonic_boom.n.01'),9,the explosion created a sonic boom,1
28,29,Synset('shove.n.01'),8,he gave the door a shove,Synset('elbowing.n.01'),10,he gave the door a elbowing,1
30,31,Synset('bunker_mentality.n.01'),8,his bunker mentality wa manifested in hurt silence,Synset('defensiveness.n.01'),7,his defensiveness was manifested in hurt silence,0
33,34,Synset('brush.n.09'),9,they kept in daily brush,Synset('contact.n.01'),8,they kept in daily contact,0
36,37,Synset('survivor_guilt.n.01'),10,he drank to drown his survivor guilt,Synset('sorrow.n.02'),7,he drank to drown his sorrows,0
37,38,Synset('beggar-my-neighbor_policy.n.01'),10,it wa a beggar-my-neighbor policy of retribution,Synset('policy.n.01'),9,it was a policy of retribution,0
38,39,Synset('non-euclidean_geometry.n.01'),12,non-Euclidean geometries discard or replace one or more of the Euclidean axioms,Synset('hyperbolic_geometry.n.01'),13,hyperbolic geometry discard or replace one or more of the euclidean axiom,1
40,41,Synset('reproach.n.01'),8,words of reproach,Synset('blame.n.02'),9,word of blame,1
41,42,Synset('regard.n.06'),7,he had trouble expressing the regard he felt,Synset('affection.n.01'),6,he had trouble expressing the affection he felt,0
42,43,Synset('embodiment.n.01'),9,she is the embodiment of optimism,Synset('personification.n.01'),8,she is the personification of optimism,0
43,44,Synset('landscaping.n.02'),10,a bean landscaping,Synset('plot.n.02'),8,a bean plot,0
44,45,Synset('integer.n.01'),6,an integer is a number that is not a fraction,Synset('quadrillion.n.01'),8,an quadrillion is a number that is not a fraction,1
45,46,Synset('fad.n.01'),11,leather is the latest fad,Synset('vogue.n.01'),9,leather is the latest vogue,0
46,47,Synset('spill.n.04'),10,he blamed his spill on the ice,Synset('slip.n.07'),9,he blamed his slip on the ice,0
47,48,Synset('nerve_center.n.01'),9,they received message from several nerve center,Synset('center.n.11'),8,they received messages from several centers,0
48,49,Synset('attachment.n.05'),9,attachment to a formal agenda,Synset('ecclesiasticism.n.01'),10,ecclesiasticism to a formal agenda,1
49,50,Synset('promise.n.02'),8,there is little or no promise that he will recover,Synset('rainbow.n.02'),9,there is little or no rainbow that he will recover,1
50,51,Synset('fever_pitch.n.01'),10,his face wa flushed with fever pitch and his hand trembled,Synset('excitement.n.02'),9,his face was flushed with excitement and his hands trembled,0
51,52,Synset('wound.n.03'),8,the death of his wife caused him great wound,Synset('distress.n.01'),7,the death of his wife caused him great distress,0
52,53,Synset('secret.n.02'),6,the secret of Cajun cooking,Synset('password.n.01'),8,the password of cajun cooking,1
53,54,Synset('door.n.03'),11,we closed the door to Haitian immigrants,Synset('open_door.n.02'),12,we closed the open door to haitian immigrant,1
54,55,Synset('colony.n.01'),6,the American colony in Paris,Synset('plantation.n.02'),7,the american plantation in paris,1
57,58,Synset('starter.n.07'),7,the starter of cell in a petri dish,Synset('culture.n.04'),6,the culture of cells in a Petri dish,0
58,59,Synset('immobilization.n.02'),9,the unlawful immobilization of trade,Synset('restraint.n.01'),8,the unlawful restraint of trade,0
59,60,Synset('idea.n.03'),8,my idea differs from yours,Synset('opinion.n.01'),7,my opinion differs from yours,0
60,61,Synset('squeeze.n.01'),10,he gave her cheek a playful squeeze,Synset('expression.n.09'),11,he gave her cheek a playful expression,1
61,62,Synset('hug.n.01'),11,he released his hug on my arm,Synset('clasp.n.02'),9,he released his clasp on my arm,0
63,64,Synset('mukataa.n.01'),11,many company have their mukataa in new york,Synset('headquarters.n.01'),10,many companies have their headquarters in New York,0
64,65,Synset('number.n.11'),8,good business depends on having good number,Synset('merchandise.n.01'),7,good business depends on having good merchandise,0
65,66,Synset('omission.n.02'),8,the house wa in a terrible state of omission,Synset('neglect.n.02'),7,the house was in a terrible state of neglect,0
66,67,Synset('solicitation.n.01'),9,a solicitation to the king for relief,Synset('importunity.n.01'),10,a importunity to the king for relief,1
67,68,Synset('stock.n.01'),7,he owns a controlling share of the company's stock,Synset('common_stock.n.01'),8,he owns a controlling share of the company 's common stock,1
68,69,Synset('administrivia.n.01'),11,he ha responsibility for the administrivia of two company at the same time,Synset('running.n.04'),10,he has responsibility for the running of two companies at the same time,0
69,70,Synset('title.n.03'),11,the novel had chapter titles,Synset('credit.n.08'),12,the novel had chapter credit,1
70,71,Synset('boost.n.03'),8,he gave the door a hard boost,Synset('push.n.01'),7,he gave the door a hard push,0
